event_id,sede,start_time,end_time,total_kwh,avg_occupancy,category,duration_hours,ai_recommendation
Duitama_259,Duitama,2023-08-29 17:00:00,2023-08-29 17:00:00,170.43791584322355,49.650000000000006,Pico de Demanda Inesperado,1,Pending...
Duitama_119,Duitama,2019-08-26 15:00:00,2019-08-26 17:00:00,170.0279444284307,48.4,Pico de Demanda Inesperado,2,Pending...
Duitama_243,Duitama,2023-06-02 11:00:00,2023-06-02 11:00:00,168.05775679770625,56.9,Pico de Demanda Inesperado,1,Pending...
Sogamoso_78,Sogamoso,2019-06-10 08:00:00,2019-06-10 11:00:00,164.58819867584754,58.85,Pico de Demanda Inesperado,2,Pending...
Sogamoso_440,Sogamoso,2025-10-21 07:00:00,2025-10-21 07:00:00,162.72734073169752,77.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_244,Sogamoso,2023-09-26 17:00:00,2023-09-26 17:00:00,162.39953439608735,59.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_97,Sogamoso,2019-09-23 08:00:00,2019-09-23 08:00:00,161.83656264580034,81.0,Pico de Demanda Inesperado,1,Pending...
Duitama_364,Duitama,2025-04-09 14:00:00,2025-04-09 14:00:00,159.98374422713417,48.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_212,Sogamoso,2023-05-08 16:00:00,2023-05-08 16:00:00,159.60605431871377,69.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_76,Sogamoso,2019-05-30 09:00:00,2019-05-30 09:00:00,158.95756787218065,65.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_210,Sogamoso,2023-04-19 14:00:00,2023-04-19 14:00:00,156.86245781415045,70.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_31,Sogamoso,2018-09-19 16:00:00,2018-09-19 16:00:00,156.8482053647761,62.1,Pico de Demanda Inesperado,1,Pending...
Sogamoso_70,Sogamoso,2019-04-17 15:00:00,2019-04-17 15:00:00,155.75789298763794,58.2,Pico de Demanda Inesperado,1,Pending...
Duitama_293,Duitama,2024-04-11 15:00:00,2024-04-11 15:00:00,153.16394720150532,59.3,Pico de Demanda Inesperado,1,Pending...
Duitama_193,Duitama,2022-05-17 07:00:00,2022-05-17 07:00:00,152.83614086589515,76.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_341,Sogamoso,2024-12-05 09:00:00,2024-12-05 09:00:00,151.68169246657243,72.6,Pico de Demanda Inesperado,1,Pending...
Duitama_290,Duitama,2024-04-02 17:00:00,2024-04-02 17:00:00,151.23986653596742,58.7,Pico de Demanda Inesperado,1,Pending...
Duitama_64,Duitama,2019-03-07 11:00:00,2019-03-07 11:00:00,151.11159449159825,71.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_372,Sogamoso,2025-04-24 16:00:00,2025-04-24 16:00:00,151.061710918788,74.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_330,Sogamoso,2024-10-18 08:00:00,2024-10-18 08:00:00,151.04033224472647,73.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_233,Sogamoso,2023-08-29 16:00:00,2023-08-29 16:00:00,150.24219507976258,71.3,Pico de Demanda Inesperado,1,Pending...
Duitama_263,Duitama,2023-09-11 16:00:00,2023-09-11 16:00:00,149.48681526292177,51.9,Pico de Demanda Inesperado,1,Pending...
Sogamoso_213,Sogamoso,2023-05-12 09:00:00,2023-05-12 09:00:00,148.85970749045015,70.6,Pico de Demanda Inesperado,1,Pending...
Duitama_150,Duitama,2019-11-25 07:00:00,2019-11-25 07:00:00,148.39650288578363,77.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_8,Sogamoso,2018-04-24 10:00:00,2018-04-24 10:00:00,147.71951154050174,72.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_253,Sogamoso,2023-11-24 08:00:00,2023-11-24 08:00:00,147.55560837269667,62.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_337,Sogamoso,2024-11-18 11:00:00,2024-11-18 11:00:00,147.12090866677886,55.5,Pico de Demanda Inesperado,1,Pending...
Duitama_189,Duitama,2022-04-28 17:00:00,2022-04-28 17:00:00,145.88094557120996,71.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_43,Sogamoso,2018-11-08 11:00:00,2018-11-08 11:00:00,144.65523492501544,52.8,Pico de Demanda Inesperado,1,Pending...
Sogamoso_69,Sogamoso,2019-04-03 15:00:00,2019-04-03 15:00:00,144.59822512751802,50.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_26,Sogamoso,2018-08-23 17:00:00,2018-08-23 17:00:00,144.42006951033858,71.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_66,Sogamoso,2019-03-15 08:00:00,2019-03-15 08:00:00,144.0423796019182,60.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_9,Sogamoso,2018-04-25 10:00:00,2018-04-25 10:00:00,143.99962225379514,66.7,Pico de Demanda Inesperado,1,Pending...
Duitama_26,Duitama,2018-09-12 10:00:00,2018-09-12 10:00:00,142.15393005981616,71.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_247,Sogamoso,2023-10-06 07:00:00,2023-10-06 07:00:00,140.0231888783501,72.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_331,Sogamoso,2024-10-23 17:00:00,2024-10-23 17:00:00,139.8379070364835,83.1,Pico de Demanda Inesperado,1,Pending...
Sogamoso_101,Sogamoso,2019-10-10 10:00:00,2019-10-10 10:00:00,139.4887220268118,86.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_41,Sogamoso,2018-10-31 09:00:00,2018-10-31 09:00:00,138.52668169404282,81.5,Pico de Demanda Inesperado,1,Pending...
Duitama_28,Duitama,2018-09-24 09:00:00,2018-09-24 09:00:00,137.60739870939693,63.85,Pico de Demanda Inesperado,1,Pending...
Sogamoso_57,Sogamoso,2019-02-13 09:00:00,2019-02-13 09:00:00,137.27959237378676,75.4,Pico de Demanda Inesperado,1,Pending...
Duitama_360,Duitama,2025-03-10 10:00:00,2025-03-10 10:00:00,136.98029093692531,65.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_259,Sogamoso,2024-01-17 11:00:00,2024-01-17 11:00:00,136.62397970256646,55.8,Pico de Demanda Inesperado,1,Pending...
Sogamoso_64,Sogamoso,2019-03-07 10:00:00,2019-03-07 10:00:00,136.324678265705,60.9,Pico de Demanda Inesperado,1,Pending...
Sogamoso_357,Sogamoso,2025-03-06 09:00:00,2025-03-06 09:00:00,135.92560968322306,53.575,Pico de Demanda Inesperado,1,Pending...
Duitama_30,Duitama,2018-09-27 16:00:00,2018-09-27 16:00:00,135.8757261104128,62.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_53,Sogamoso,2019-01-17 15:00:00,2019-01-17 15:00:00,135.562172224177,67.6,Pico de Demanda Inesperado,1,Pending...
Duitama_29,Duitama,2018-09-27 08:00:00,2018-09-27 08:00:00,135.4980362019924,57.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_430,Sogamoso,2025-09-26 17:00:00,2025-09-26 17:00:00,135.29137568606424,49.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_48,Sogamoso,2018-11-30 09:00:00,2018-11-30 09:00:00,134.97069557514126,58.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_81,Sogamoso,2019-06-13 11:00:00,2019-06-13 11:00:00,133.65234400801342,53.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_10,Sogamoso,2018-05-18 10:00:00,2018-05-18 10:00:00,133.62383910926474,65.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_102,Sogamoso,2019-10-14 08:00:00,2019-10-14 08:00:00,132.6190414283727,67.9,Pico de Demanda Inesperado,1,Pending...
Sogamoso_14,Sogamoso,2018-06-12 14:00:00,2018-06-12 14:00:00,132.4978956086907,63.6,Pico de Demanda Inesperado,1,Pending...
Duitama_357,Duitama,2025-02-19 17:00:00,2025-02-19 17:00:00,132.29123509276255,69.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_186,Sogamoso,2022-11-03 07:00:00,2022-11-03 07:00:00,131.3505734340551,65.9,Pico de Demanda Inesperado,1,Pending...
Duitama_235,Duitama,2023-03-29 07:00:00,2023-03-29 07:00:00,130.7519705603322,60.1,Pico de Demanda Inesperado,1,Pending...
Duitama_228,Duitama,2023-02-07 07:00:00,2023-02-07 07:00:00,130.63795096533738,44.25,Pico de Demanda Inesperado,1,Pending...
Chiquinquirá_118,Chiquinquirá,2024-09-03 15:00:00,2024-09-03 16:00:00,130.32439707910157,64.4,Pico de Demanda Inesperado,2,Pending...
Duitama_333,Duitama,2024-08-31 12:00:00,2024-08-31 12:00:00,129.78993022756325,74.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_198,Sogamoso,2023-02-09 10:00:00,2023-02-09 10:00:00,128.15089854951245,60.2,Pico de Demanda Inesperado,1,Pending...
Duitama_286,Duitama,2024-03-22 08:00:00,2024-03-22 08:00:00,128.0368789545176,67.8,Pico de Demanda Inesperado,1,Pending...
Sogamoso_5,Sogamoso,2018-04-13 09:00:00,2018-04-13 09:00:00,127.53804322641516,72.0,Pico de Demanda Inesperado,1,Pending...
Duitama_229,Duitama,2023-02-14 15:00:00,2023-02-14 15:00:00,126.28382768147192,65.4,Pico de Demanda Inesperado,1,Pending...
Duitama_267,Duitama,2023-10-04 07:00:00,2023-10-04 07:00:00,126.16980808647708,33.05,Pico de Demanda Inesperado,1,Pending...
Sogamoso_260,Sogamoso,2024-01-26 07:00:00,2024-01-26 07:00:00,125.13650550683636,54.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_134,Sogamoso,2022-01-25 07:00:00,2022-01-25 07:00:00,123.55448362628296,76.5,Pico de Demanda Inesperado,1,Pending...
Duitama_5,Duitama,2018-04-04 07:00:00,2018-04-04 07:00:00,123.5473574015958,63.6,Pico de Demanda Inesperado,1,Pending...
Duitama_278,Duitama,2024-02-07 14:00:00,2024-02-07 14:00:00,122.82048248350368,65.1,Pico de Demanda Inesperado,1,Pending...
Duitama_348,Duitama,2024-11-13 14:00:00,2024-11-13 14:00:00,122.61382196757552,49.2,Pico de Demanda Inesperado,1,Pending...
Duitama_219,Duitama,2022-10-18 10:00:00,2022-10-18 10:00:00,122.4641712491448,54.95,Pico de Demanda Inesperado,1,Pending...
Duitama_12,Duitama,2018-05-30 11:00:00,2018-05-30 11:00:00,121.43799489419126,65.6,Pico de Demanda Inesperado,1,Pending...
Duitama_182,Duitama,2022-02-28 07:00:00,2022-02-28 07:00:00,120.46170211204794,65.9,Pico de Demanda Inesperado,1,Pending...
Sogamoso_104,Sogamoso,2019-10-24 16:00:00,2019-10-24 16:00:00,120.4474496626736,73.9,Pico de Demanda Inesperado,1,Pending...
Duitama_180,Duitama,2022-02-14 14:00:00,2022-02-14 14:00:00,120.16952689987366,60.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_325,Sogamoso,2024-09-30 07:00:00,2024-09-30 11:00:00,119.921,65.97999999999999,Pico de Demanda Inesperado,5,Pending...
Sogamoso_203,Sogamoso,2023-03-24 07:00:00,2023-03-24 07:00:00,119.32150616209954,65.1,Pico de Demanda Inesperado,1,Pending...
Tunja_79,Tunja,2019-10-14 10:00:00,2019-10-14 11:00:00,118.58750501932028,68.4,Pico de Demanda Inesperado,2,Pending...
Sogamoso_347,Sogamoso,2025-01-21 16:00:00,2025-01-21 16:00:00,118.28107735777162,73.0,Pico de Demanda Inesperado,1,Pending...
Duitama_133,Duitama,2019-09-14 12:00:00,2019-09-14 12:00:00,117.90338744935124,59.7,Pico de Demanda Inesperado,1,Pending...
Duitama_96,Duitama,2019-05-11 11:00:00,2019-05-11 11:00:00,115.65862667289034,52.1,Pico de Demanda Inesperado,1,Pending...
Duitama_9,Duitama,2018-05-15 16:00:00,2018-05-15 16:00:00,115.5089759544596,71.2,Pico de Demanda Inesperado,1,Pending...
Duitama_368,Duitama,2025-04-18 14:00:00,2025-04-18 14:00:00,115.46621860633653,49.3,Pico de Demanda Inesperado,1,Pending...
Duitama_344,Duitama,2024-10-22 17:00:00,2024-10-22 17:00:00,114.39015867857272,69.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_202,Sogamoso,2023-03-22 17:00:00,2023-03-22 17:00:00,114.25476040951638,69.2,Pico de Demanda Inesperado,1,Pending...
Duitama_376,Duitama,2025-05-09 15:00:00,2025-05-09 15:00:00,112.53021403521942,44.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_113,Sogamoso,2020-01-16 08:00:00,2020-01-16 08:00:00,108.01931380823608,70.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_4,Sogamoso,2018-02-22 10:00:00,2018-02-22 10:00:00,107.24255531733372,67.5,Pico de Demanda Inesperado,1,Pending...
Duitama_399,Duitama,2025-09-01 07:00:00,2025-09-01 11:00:00,106.82,64.55,Pico de Demanda Inesperado,4,Pending...
Sogamoso_61,Sogamoso,2019-02-22 15:00:00,2019-02-22 15:00:00,106.62969999423646,46.4,Pico de Demanda Inesperado,1,Pending...
Duitama_6,Duitama,2018-04-06 14:00:00,2018-04-06 14:00:00,105.69616456021625,40.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_395,Sogamoso,2025-06-07 10:00:00,2025-06-07 10:00:00,103.53691848000145,39.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_263,Sogamoso,2024-03-08 16:00:00,2024-03-08 16:00:00,102.63188794472993,60.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_248,Sogamoso,2023-10-13 14:00:00,2023-10-13 14:00:00,100.37287471889466,39.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_271,Sogamoso,2024-04-13 10:00:00,2024-04-13 10:00:00,99.52485398112051,41.2,Pico de Demanda Inesperado,1,Pending...
Duitama_244,Duitama,2023-06-03 07:00:00,2023-06-03 07:00:00,99.38232948737698,55.9,Pico de Demanda Inesperado,1,Pending...
Duitama_289,Duitama,2024-03-30 12:00:00,2024-03-30 12:00:00,98.96188223083352,56.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_216,Sogamoso,2023-05-20 09:00:00,2023-05-20 09:00:00,98.8122315124028,43.0,Pico de Demanda Inesperado,1,Pending...
Duitama_413,Duitama,2025-09-29 12:00:00,2025-09-29 12:00:00,98.19937618930553,60.6,Pico de Demanda Inesperado,1,Pending...
Duitama_304,Duitama,2024-05-02 18:00:00,2024-05-02 18:00:00,97.02354911592124,44.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_393,Sogamoso,2025-06-04 12:00:00,2025-06-04 12:00:00,96.6886165556239,52.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_236,Sogamoso,2023-09-05 12:00:00,2023-09-05 12:00:00,96.43207246688551,55.2,Pico de Demanda Inesperado,1,Pending...
Duitama_347,Duitama,2024-11-08 15:00:00,2024-11-08 15:00:00,96.16127592877277,50.150000000000006,Pico de Demanda Inesperado,1,Pending...
Sogamoso_267,Sogamoso,2024-04-01 13:00:00,2024-04-01 13:00:00,95.69094509941908,56.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_366,Sogamoso,2025-04-10 12:00:00,2025-04-10 12:00:00,95.51278948223964,49.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_158,Sogamoso,2022-07-06 13:00:00,2022-07-06 13:00:00,95.4842845834909,8.7,Pico de Demanda Inesperado,1,Pending...
Duitama_8,Duitama,2018-04-27 16:00:00,2018-04-27 16:00:00,95.28475029224994,51.3,Pico de Demanda Inesperado,1,Pending...
Sogamoso_114,Sogamoso,2020-01-16 14:00:00,2020-01-16 14:00:00,94.64339007040395,55.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_188,Sogamoso,2022-12-06 17:00:00,2022-12-06 19:00:00,93.78588028076912,60.900000000000006,Pico de Demanda Inesperado,2,Pending...
Duitama_217,Duitama,2022-09-28 12:00:00,2022-09-28 12:00:00,93.39630075014792,63.2,Pico de Demanda Inesperado,1,Pending...
Duitama_315,Duitama,2024-05-25 07:00:00,2024-05-25 07:00:00,92.99723216766598,43.9,Pico de Demanda Inesperado,1,Pending...
Duitama_32,Duitama,2018-10-19 09:00:00,2018-10-19 09:00:00,92.98297971829162,61.8,Pico de Demanda Inesperado,1,Pending...
Sogamoso_411,Sogamoso,2025-08-25 04:00:00,2025-08-25 08:00:00,91.3495003119064,44.23333333333333,Uso Nocturno Inusual,3,Pending...
Duitama_366,Duitama,2025-04-16 12:00:00,2025-04-16 12:00:00,90.88786966026144,61.8,Pico de Demanda Inesperado,1,Pending...
Duitama_359,Duitama,2025-02-22 07:00:00,2025-02-22 07:00:00,90.37478148278468,45.1,Pico de Demanda Inesperado,1,Pending...
Sogamoso_163,Sogamoso,2022-08-12 10:00:00,2022-08-12 10:00:00,90.36765525809749,8.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_152,Sogamoso,2022-06-09 12:00:00,2022-06-09 12:00:00,89.02792501690813,43.4,Pico de Demanda Inesperado,1,Pending...
Duitama_405,Duitama,2025-09-10 18:00:00,2025-09-10 18:00:00,86.58362994920626,39.0,Pico de Demanda Inesperado,1,Pending...
Duitama_295,Duitama,2024-04-12 19:00:00,2024-04-12 19:00:00,86.46961035421141,32.2,Pico de Demanda Inesperado,1,Pending...
Duitama_302,Duitama,2024-04-24 19:00:00,2024-04-24 19:00:00,86.4411054554627,28.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_254,Sogamoso,2023-11-25 11:00:00,2023-11-25 11:00:00,85.8425025817398,53.1,Pico de Demanda Inesperado,1,Pending...
Sogamoso_105,Sogamoso,2019-10-26 11:00:00,2019-10-26 11:00:00,85.32228817957585,38.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_336,Sogamoso,2024-11-15 13:00:00,2024-11-15 13:00:00,85.208268584581,52.3,Pico de Demanda Inesperado,1,Pending...
Duitama_35,Duitama,2018-11-28 09:00:00,2018-11-28 09:00:00,84.34599539743253,65.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_205,Sogamoso,2023-04-03 18:00:00,2023-04-03 18:00:00,83.8471596693301,42.8,Pico de Demanda Inesperado,1,Pending...
Duitama_231,Duitama,2023-03-04 10:00:00,2023-03-04 10:00:00,83.64049915340196,49.4,Pico de Demanda Inesperado,1,Pending...
Duitama_34,Duitama,2018-11-05 08:00:00,2018-11-05 08:00:00,83.51222710903276,61.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_36,Sogamoso,2018-09-27 12:00:00,2018-09-27 12:00:00,83.41958618809946,41.2,Pico de Demanda Inesperado,1,Pending...
Sogamoso_387,Sogamoso,2025-05-24 16:00:00,2025-05-24 18:00:00,83.20579944748413,18.25,Pico de Demanda Inesperado,2,Pending...
Sogamoso_15,Sogamoso,2018-06-14 12:00:00,2018-06-14 12:00:00,82.94212913405856,49.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_224,Sogamoso,2023-07-17 13:00:00,2023-07-17 13:00:00,81.6665349150538,8.649999999999999,Pico de Demanda Inesperado,1,Pending...
Sogamoso_160,Sogamoso,2022-07-18 15:00:00,2022-07-18 15:00:00,81.57389399412048,8.0,Pico de Demanda Inesperado,1,Pending...
Duitama_325,Duitama,2024-08-12 11:00:00,2024-08-12 11:00:00,81.48125307318718,6.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_297,Sogamoso,2024-07-19 16:00:00,2024-07-19 16:00:00,80.72587325634636,6.7,Pico de Demanda Inesperado,1,Pending...
Tunja_74,Tunja,2019-09-16 08:00:00,2019-09-16 08:00:00,80.59760121197718,68.8,Pico de Demanda Inesperado,1,Pending...
Duitama_391,Duitama,2025-07-24 13:00:00,2025-07-24 13:00:00,80.57622253791565,10.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_299,Sogamoso,2024-08-06 16:00:00,2024-08-06 16:00:00,80.39806692073621,6.1,Pico de Demanda Inesperado,1,Pending...
Tunja_104,Tunja,2022-05-13 07:00:00,2022-05-13 07:00:00,80.148649056685,41.650000000000006,Pico de Demanda Inesperado,1,Pending...
Duitama_63,Duitama,2019-03-06 19:00:00,2019-03-06 19:00:00,79.66406577795694,36.75,Pico de Demanda Inesperado,1,Pending...
Sogamoso_303,Sogamoso,2024-08-26 08:00:00,2024-08-26 11:00:00,79.504,71.58333333333333,Pico de Demanda Inesperado,3,Pending...
Duitama_240,Duitama,2023-05-04 19:00:00,2023-05-04 19:00:00,79.23649229672628,33.4,Pico de Demanda Inesperado,1,Pending...
Duitama_251,Duitama,2023-07-21 11:00:00,2023-07-21 11:00:00,79.18660872391604,6.4,Pico de Demanda Inesperado,1,Pending...
Duitama_393,Duitama,2025-07-28 16:00:00,2025-07-28 16:00:00,78.44548135644958,7.8,Pico de Demanda Inesperado,1,Pending...
Sogamoso_155,Sogamoso,2022-06-30 12:00:00,2022-06-30 12:00:00,77.97515052709586,9.5,Pico de Demanda Inesperado,1,Pending...
Duitama_103,Duitama,2019-06-07 07:00:00,2019-06-07 11:00:00,77.926,71.86666666666666,Pico de Demanda Inesperado,3,Pending...
Tunja_57,Tunja,2019-04-15 08:00:00,2019-04-15 08:00:00,77.89676205553691,67.0,Pico de Demanda Inesperado,1,Pending...
Sogamoso_437,Sogamoso,2025-10-14 19:00:00,2025-10-14 19:00:00,77.81124735929079,36.0,Pico de Demanda Inesperado,1,Pending...
Tunja_181,Tunja,2023-11-01 10:00:00,2023-11-01 10:00:00,77.42643122618321,54.900000000000006,Pico de Demanda Inesperado,1,Pending...
Sogamoso_296,Sogamoso,2024-07-17 14:00:00,2024-07-17 14:00:00,77.3622952039986,7.1,Pico de Demanda Inesperado,1,Pending...
Duitama_90,Duitama,2019-04-23 20:00:00,2019-04-23 20:00:00,77.21977071025506,31.3,Pico de Demanda Inesperado,1,Pending...
Duitama_2,Duitama,2018-03-01 17:00:00,2018-03-01 17:00:00,77.14850846338328,59.05,Pico de Demanda Inesperado,1,Pending...
Tunja_107,Tunja,2022-05-30 08:00:00,2022-05-30 08:00:00,76.79932345371158,69.1,Pico de Demanda Inesperado,1,Pending...
Sogamoso_295,Sogamoso,2024-07-01 15:00:00,2024-07-01 15:00:00,76.74943988090133,7.4,Pico de Demanda Inesperado,1,Pending...
Sogamoso_143,Sogamoso,2022-04-22 19:00:00,2022-04-22 19:00:00,76.74231365621417,35.6,Pico de Demanda Inesperado,1,Pending...
Tunja_100,Tunja,2022-04-11 08:00:00,2022-04-11 08:00:00,76.50714824153731,70.7,Pico de Demanda Inesperado,1,Pending...
Duitama_245,Duitama,2023-06-06 19:00:00,2023-06-06 19:00:00,75.972681389999,33.5,Pico de Demanda Inesperado,1,Pending...
Sogamoso_231,Sogamoso,2023-08-25 07:00:00,2023-08-25 10:00:00,75.737,60.55,Pico de Demanda Inesperado,3,Pending...
Duitama_146,Duitama,2019-10-08 13:00:00,2019-10-08 13:00:00,75.67337995313754,61.1,Pico de Demanda Inesperado,1,Pending...
Duitama_227,Duitama,2023-01-31 13:00:00,2023-01-31 13:00:00,74.6115724747481,53.6,Pico de Demanda Inesperado,1,Pending...
Sogamoso_107,Sogamoso,2019-11-05 13:00:00,2019-11-05 13:00:00,74.60444625006092,63.0,Pico de Demanda Inesperado,1,Pending...
Tunja_261,Tunja,2025-09-12 10:00:00,2025-09-12 10:00:00,74.49755287975327,80.7,Pico de Demanda Inesperado,1,Pending...
Sogamoso_117,Sogamoso,2020-02-22 09:00:00,2020-02-22 09:00:00,74.11986297133285,45.6,Pico de Demanda Inesperado,1,Pending...
Duitama_181,Duitama,2022-02-17 19:00:00,2022-02-17 19:00:00,73.91320245540471,29.8,Pico de Demanda Inesperado,1,Pending...
Duitama_72,Duitama,2019-03-25 07:00:00,2019-03-25 10:00:00,73.852,68.36666666666666,Pico de Demanda Inesperado,3,Pending...
